SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.5700000000000001,1681.7350000000001,396.4,0.2975,2.5,0.55,0.4485,63.0,0.5,-7.0502871575,5.0,500.0,225.25,57.5,5.0,0.0,138.5,-6.870974255,22.0,28.993499999999997
0.551,828.065,170.715,-3.0116666664999996,5.0,0.755,0.5495,81.5,0.5,-3.443362813335,3.5,2950.0,55.25,117.575,4.5,0.0,140.5,-3.242152775,14.045,28.2035
0.7115,1437.2350000000001,358.0,0.295,1.0,0.575,0.7105,58.0,0.5,-5.76032512,6.5,1300.0,90.25,32.5,3.5,0.0,141.5,-5.65572762,12.43,27.969
0.5145,755.235,226.445,-0.11000000000000001,5.0,1.065,0.513,74.5,0.5,-3.009050325,5.0,3750.0,41.25,37.5,3.0,0.0,156.5,-2.95154243,7.426,29.137999999999998
0.6945,1558.2350000000001,368.75,0.22,1.5,0.54,0.6930000000000001,59.5,0.5,-6.342341905,6.0,2200.0,99.75,47.5,4.0,0.0,137.5,-6.29472391,16.105,28.8785
0.515,2314.235,356.69,0.22,2.0,0.5700000000000001,0.5145,62.0,0.5,-8.35211187,5.5,2650.0,235.75,52.5,4.5,0.0,138.0,-8.304493875,31.51,14.2235
0.6,1366.2350000000001,342.05,0.3025,0.5,0.78,0.5975,42.5,0.5,-5.1050114475,7.0,1800.0,67.45,22.5,3.0,0.0,160.0,-4.9952423249999995,11.05,24.4835
0.644,813.075,203.05,0.32,5.0,0.64,0.6425000000000001,71.0,0.5,-2.4927115175,2.5,1450.0,82.75,22.5,2.5,0.0,140.5,-2.403639315,8.889,34.0845
0.589,1530.7350000000001,440.65,-0.0025000000000000022,1.0,0.69,0.5875,58.5,0.5,-6.1456908375,6.5,1800.0,82.25,47.5,3.5,0.0,149.5,-6.058731,15.855,25.7185
0.128,1337.33,324.43,0.03,10.0,0.85,0.129,66.0,1.0,-3.20969261,1.0,1000.0,78.3,222.74,3.0,0.0,143.0,-3.18445282,12.55,0.0
0.1815,1286.13,287.53,-0.05,10.0,1.0,0.182,65.5,1.0,-2.987543085,1.0,1200.0,79.15,174.22,2.5,0.0,143.5,-2.952215995,11.925,17.415
0.18,965.775,212.15,0.0925,10.0,0.8999999999999999,0.18,68.0,0.5,-2.0109334175,0.5,1150.0,70.15,111.37,2.5,0.0,150.0,-1.96239593,9.38,18.74
0.189,2116.665,457.41499999999996,0.015,7.5,0.72,0.19,58.0,0.5,-7.0279001899999995,3.5,3150.0,200.15,159.37,4.5,0.0,141.0,-7.015280295,25.015,13.58
0.1965,2043.665,507.265,0.015,7.0,0.745,0.197,56.5,0.5,-6.65150707,4.0,4900.0,91.15,159.37,4.0,0.0,143.0,-6.638887175000001,21.275,12.52
0.186,1582.69,358.865,0.045,10.0,0.745,0.1865,64.0,1.0,-4.17373359,0.5,4500.0,102.65,141.37,3.5,0.0,142.5,-4.13773286,14.645,16.465
0.185,1787.165,409.90999999999997,0.16499999999999998,9.0,0.76,0.186,62.5,1.0,-5.231669065,2.0,4500.0,204.15,171.37,4.5,0.18517845,137.5,-5.047218365,19.57,15.53
0.183,1972.165,446.1,0.21500000000000002,8.5,0.735,0.1835,61.0,0.5,-6.20216309,2.5,4500.0,254.15,166.37,5.5,2.865e-05,138.5,-5.8776926000000005,25.57,14.235
